,nama_kelurahan
0,Cilandak Barat
1,Lebak Bulus
2,Cilandak Barat
3,Pondok Labu
4,Pondok Labu
5,Jati Padang
6,Cilandak Barat
7,Gandaria Selatan
8,Gandaria Selatan
9,Cilandak Barat
