,nama_kelurahan
0,Pesanggrahan
1,Petukangan Selatan
2,Petukangan Selatan
3,Petukangan Utara
4,Ulujami
5,Ulujami
6,Ulujami
7,Ulujami
8,Petukangan Utara
9,Petukangan Selatan
