,nama_kelurahan
0,Cipete Utara
1,Cipete Utara
2,Gandaria Utara
3,Pulo
4,Pulo
5,Pulo
6,Pulo
7,Gandaria Utara
8,Gandaria Utara
9,Gandaria Utara
