,nama_kelurahan
0,Srengseng Sawah
1,Jagakarsa
2,Jagakarsa
3,Jagakarsa
4,Jagakarsa
5,Jagakarsa
6,Jagakarsa
7,Jagakarsa
8,Ciganjur
9,Cipedak
