,nama_kelurahan
0,Karet Kuningan
1,Karet Kuningan
2,Karet Semanggi
3,Kuningan Timur
4,Karet Kuningan
5,Karet Kuningan
6,Karet Kuningan
7,Karet Kuningan
8,Karet Kuningan
9,Karet Kuningan
