,nama_kelurahan
0,Cilandak Timur
1,Cilandak Timur
2,Ragunan
3,Ragunan
4,Ragunan
5,Kebagusan
6,Ragunan
7,Pasar Minggu
8,Kebagusan
9,Pasar Minggu
