,nama_kelurahan
0,Tebet Barat
1,Tebet Barat
2,Tebet Barat
3,Menteng Dalam
4,Menteng Dalam
5,Menteng Dalam
6,Menteng Dalam
7,Menteng Dalam
8,Menteng Dalam
9,Manggarai Selatan
